title,year,averageRating,numVotes
The Shawshank Redemption,1994.0,9.3,3114849.0
The Dark Knight,2008.0,9.1,3090683.0
Inception,2010.0,8.8,2745513.0
Fight Club,1999.0,8.8,2529936.0
Forrest Gump,1994.0,8.8,2432588.0
Interstellar,2014.0,8.7,2424195.0
Pulp Fiction,1994.0,8.8,2380019.0
The Matrix,1999.0,8.7,2197361.0
The Godfather,1972.0,9.2,2171907.0
The Lord of the Rings: The Fellowship of the Ring,2001.0,8.9,2151200.0
The Lord of the Rings: The Return of the King,2003.0,9.0,2115991.0
Se7en,1995.0,8.6,1963390.0
The Dark Knight Rises,2012.0,8.4,1950231.0
The Lord of the Rings: The Two Towers,2002.0,8.8,1909469.0
Django Unchained,2012.0,8.5,1833329.0
Gladiator,2000.0,8.5,1802476.0
The Wolf of Wall Street,2013.0,8.2,1731934.0
Inglourious Basterds,2009.0,8.4,1729524.0
Batman Begins,2005.0,8.2,1678803.0
The Silence of the Lambs,1991.0,8.6,1673684.0
